case:sel2	"'y'"
case:derive-closure-chain	"(('a', 'b'), ('b', 'c'), ('c', 'd'), ('a', 'c'), ('b', 'd'), ('a', 'd'))"
case:derive-closure-cycle	"(('a', 'b'), ('b', 'c'), ('c', 'a'), ('a', 'c'), ('b', 'a'), ('c', 'b'), ('a', 'a'), ('b', 'b'), ('c', 'c'))"
case:derive-closure-single	"(('a', 'b'))"
case:derive-closure-empty	"()"
case:derive-stratified-tc	"'T'"
case:mirror-fills	"(('r1', 'Noun'), ('r2', 'Noun'))"
case:mirror-asserted-wins	"(('kept', 'Asserted'))"
case:mirror-nothing-derived	"()"
case:nav-edges	"(('collection', 'F1', ('Company')))"
case:checked-apply-a	"('COND', ('COND', ('COMP', 'null', ('COMP', ('ALPHA', ('COMP', 'theta:member', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 2, 1, 'id'), ('COMP', 1, 2, 'id'))), ('COMP', ('ALPHA', 1), 'ast:DynFetch', ('CONS', ('COMP', 3, 1), ('COMP', 2, 2)))))), ('COMP', 'distr', ('CONS', ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'gt', ('CONS', 2, ('CONST', 0)))))), 'id')), ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'eq', ('CONS', 1, ('CONST', 'noop')))))), 'id')), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'defSig'))), 2)))), 'id')))), ('CONST', 'T'), ('COMP', ('INSERT', 'and'), ('COMP', ('ALPHA', ('COMP', 'theta:member', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 2, 1, 'id'), ('COMP', 1, 2, 'id'))), ('COMP', ('ALPHA', 1), 'ast:DynFetch', ('CONS', ('COMP', 3, 1), ('COMP', 2, 2)))))), ('COMP', 'distr', ('CONS', ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'gt', ('CONS', 2, ('CONST', 0)))))), 'id')), ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'eq', ('CONS', 1, ('CONST', 'noop')))))), 'id')), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'defSig'))), 2)))), 'id'))))), ('COMP', 'apply', ('CONS', ('CONST', 'noop'), 1)), ('CONST', 'ERROR'))"
case:checked-apply-b	"('COND', ('COND', ('COMP', 'null', ('COMP', ('ALPHA', ('COMP', 'theta:member', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 2, 1, 'id'), ('COMP', 1, 2, 'id'))), ('COMP', ('ALPHA', 1), 'ast:DynFetch', ('CONS', ('COMP', 3, 1), ('COMP', 2, 2)))))), ('COMP', 'distr', ('CONS', ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'gt', ('CONS', 2, ('CONST', 0)))))), 'id')), ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'eq', ('CONS', 1, ('CONST', 'escape_html')))))), 'id')), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'defSig'))), 2)))), 'id')))), ('CONST', 'T'), ('COMP', ('INSERT', 'and'), ('COMP', ('ALPHA', ('COMP', 'theta:member', ('CONS', ('COMP', 'apply', ('CONS', ('COMP', 2, 1, 'id'), ('COMP', 1, 2, 'id'))), ('COMP', ('ALPHA', 1), 'ast:DynFetch', ('CONS', ('COMP', 3, 1), ('COMP', 2, 2)))))), ('COMP', 'distr', ('CONS', ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'gt', ('CONS', 2, ('CONST', 0)))))), 'id')), ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'eq', ('CONS', 1, ('CONST', 'escape_html')))))), 'id')), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'defSig'))), 2)))), 'id'))))), ('COMP', 'apply', ('CONS', ('CONST', 'escape_html'), 1)), ('CONST', 'ERROR'))"
case:resolve-minting-col1	"('COMP', 'apndl', ('CONS', ('COMP', 'apndl', ('CONS', ('COMP', ('COND', 'null', ('CONST', 1), ('COMP', '+', ('CONS', ('COMP', ('INSERT', 'system:max2'), ('ALPHA', 1)), ('CONST', 1)))), 2), 1)), 2))"
case:resolve-minting-col2	"('COMP', 'apndl', ('CONS', ('COMP', 'apndl', ('CONS', ('COMP', ('COND', 'null', ('CONST', 1), ('COMP', '+', ('CONS', ('COMP', ('INSERT', 'system:max2'), ('ALPHA', 2)), ('CONST', 1)))), 2), 1)), 2))"
case:mint-next-col1	"('COND', 'null', ('CONST', 1), ('COMP', '+', ('CONS', ('COMP', ('INSERT', 'system:max2'), ('ALPHA', 1)), ('CONST', 1))))"
case:mint-next-col2	"('COND', 'null', ('CONST', 1), ('COMP', '+', ('CONS', ('COMP', ('INSERT', 'system:max2'), ('ALPHA', 2)), ('CONST', 1))))"
case:scoped-extuniq-one	"('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'constraints:uniqueness', ('CONST', (1))), 'id')), ('COMP', 'theta:natjoin1', ('CONS', 1, ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id'))), 2))))"
case:scoped-extuniq-two	"('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'constraints:uniqueness', ('CONST', (1, 2))), 'id')), ('COMP', 'theta:natjoin1', ('CONS', 1, ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'Enrolment'), 'id'))), 2))))"
case:ast-purge	"('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'not', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'Bob'))), ('CONST', 'F')), ('CONST', 'F'))), 1), 'apndl', 2)), 'theta:append_phi')"
case:ast-definein	"('COMP', ('COMP', 'apndl', ('CONS', ('CONS', ('CONST', 'CELL'), ('CONST', 'FILE'), 1), ('COMP', ('COMP', 2, ('WHILE', ('COMP', 'not', 'null', 3), ('COND', ('COMP', 'and', ('CONS', ('COMP', 'eq', ('CONS', 1, ('CONST', 'F'))), ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), ('COMP', 1, 3)))), ('CONS', ('CONST', 'T'), ('COMP', 'cat', ('CONS', 2, ('COMP', 'tl', 3))), ('CONST', ())), ('CONS', 1, ('COMP', 'apndr', ('CONS', 2, ('COMP', 1, 3))), ('COMP', 'tl', 3)))), ('CONS', ('CONST', 'F'), ('CONST', ()), 'id')), 2))), ('CONS', ('CONST', 'Ada'), 'id'))"
case:restrict-sym	"('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'theta:member', ('CONS', ('COMP', ('CONS', 1), 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 1, ('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 1))), 2)))"
case:restrict-asym	"('COMP', ('ALPHA', 1), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'theta:member', ('CONS', ('COMP', ('CONS', 1), 1), 2)), 1), 'apndl', 2)), 'theta:append_phi'), 'distr', ('CONS', 1, ('COMP', ('COMP', 'theta:dedup', ('ALPHA', ('CONS', 2))), 2)))"
case:explain-builds	"('COMP', ('ALPHA', ('CONS', ('COMP', 1, 1), ('COMP', ('COMP', 'theta:member', ('CONS', ('CONST', ('a', 'b')), ('COMP', 'apply', ('CONS', ('COMP', 1, 1), 2)))), 'id'), ('COMP', ('ALPHA', 2), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONS', ('CONST', 'COMP'), ('CONST', 'eq'), ('CONS', ('CONST', 'CONS'), ('CONST', 1), ('CONS', ('CONST', 'CONST'), ('COMP', 1, 1)))))), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'ruleReads'))), 2)))), 'id'))), ('COMP', 'distr', ('CONS', ('COMP', ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'theta:Filter'), ('CONST', ('COMP', 'eq', ('CONS', 2, ('CONST', 'reaches')))))), 'id')), ('COMP', 'apply', ('CONS', ('COMP', 'apply', ('CONS', ('CONST', 'ast:FetchPop'), ('CONST', 'ruleDerives'))), 'id'))), 'id')))"
case:verify-store-match	"(('H1', 'T'))"
case:verify-store-mismatch	"(('H1', 'F'))"
case:cand-covers-all	"'T'"
case:cand-covers-none	"'F'"
case:cand-covers-partial	"'F'"
case:cand-gate-blocked	"'F'"
case:cand-gate-admits	"'T'"
case:propose-report-unsorted	"(('b'), ('c'))"
case:propose-report-all-removed	"()"
case:propose-report-none-removed	"(('a'), ('b'))"
case:ast-system-const	"'ok'"
case:ast-system-select	"'p'"
case:build-system-minimal	"('COMP', ('CONS', ('CONS', ('COMP', 1, 1), ('COMP', 2, 1)), ('COND', ('COMP', 3, 1), 2, ('COMP', ('COMP', 'main:refile1', ('CONS', ('COMP', 'main:cf_store', ('CONS', 2, ('CONS', ('CONST', 'create:F1'), 1))), ('CONST', 'create:F1'))), ('CONS', ('COMP', 1, 1), 2)))), ('CONS', ('COMP', 'ast:stub_validate', ('CONS', ('COMP', 'id', 'ast:resolve_default', ('CONS', 1, ('COMP', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'create:F1'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'create:F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'create:F1'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'create:F1'), 'id'))), 2))), 2)), 2, 1))"
case:absorb-core-two	"(('a', 1, 'x'))"
case:absorb-core-one	"(('a', 1), ('b', 2))"
case:absorb-core-three	"(('a', 1, 'x', 'q'))"
case:cand-score-mixed	"7"
case:cand-score-absent	"0"
case:cand-score-empty	"0"
case:cs-rows-atmost	"(('constraint', 'Employee_excl', 'exclusion', 'Employee', ('F1', 'F2'), 'alethic'), ('attach', 'Employee_excl', 'exclusion'), ('attach', 'Employee_excl@F1', 'scoped_exclusion'), ('attach', 'Employee_excl@F2', 'scoped_exclusion'))"
case:cs-rows-subset	"(('constraint', 'eq_r1', 'equality', 'F1', 'F2', 'alethic'), ('attach', 'eq_r1_a', 'scoped_equality_side'), ('attach', 'eq_r1_b', 'scoped_equality_side'))"
case:clause-ft-declared	"'Employee_is_a_manager'"
case:clause-ft-undeclared	"'Employee_is_manager'"
case:membership-yes	"'T'"
case:membership-no	"'F'"
case:as-of-t2	"('COMP', ('ALPHA', 'tl'), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'le', ('CONS', 1, ('CONST', 2))), 1), 'apndl', 2)), 'theta:append_phi'), ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id'))))"
case:as-of-t5	"('COMP', ('ALPHA', 'tl'), ('COMP', ('INSERT', ('COND', ('COMP', ('COMP', 'le', ('CONS', 1, ('CONST', 5))), 1), 'apndl', 2)), 'theta:append_phi'), ('COND', ('COMP', 'eq', ('CONS', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id')), ('CONST', '#'))), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COND', 'null', ('CONST', '#'), ('COMP', 3, 1)), ('COMP', ('INSERT', ('COND', ('COMP', ('COND', ('COMP', 'not', 'atom'), ('COND', ('COMP', 'eq', ('CONS', 'length', ('CONST', 3))), ('COMP', 'eq', ('CONS', 2, ('CONST', 'FILE'))), ('CONST', 'F')), ('CONST', 'F')), 1), 'apndl', 2)), 'theta:append_phi')), ('CONST', '#'))), ('CONST', ()), ('COND', ('COMP', 'eq', ('CONS', ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id'))), ('CONST', '#'))), ('CONST', ()), ('COMP', ('COMP', 'main:flat', ('ALPHA', 'ast:pop_exp')), ('COMP', ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id')), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'FILE'), 'id')))))), ('COMP', 'ast:fetch', ('CONS', ('CONST', 'log'), 'id'))))"
case:ctx-subject-longest	"('Person', 'Name')"
case:ctx-subject-none	"('Widget')"
case:ctx-subject-empty	"('Widget')"
case:ctx-of	"(('Person', 'Company', 'Amount'), (('Manager', 'Person')), ('F1'), ('Amount'))"
case:role-domain	"('heads', 'tails', 'edge')"
case:enum-product-two	"(('a', 'x'), ('a', 'y'), ('b', 'x'), ('b', 'y'))"
case:enum-product-empty	"(())"
case:cmp-filter-lit	"('COMP', 'eq', ('CONS', 1, ('CONST', 2)))"
case:cmp-filter-col	"('COMP', 'eq', ('CONS', 1, 2))"
case:view-list-rows	"('list', (('item', 'Ada', 'red'), ('item', 'Bob', 'blue')))"
case:view-list-empty	"('list', ())"
case:view-entry-fields	"('entry', (('input', 'name', 'Ada', 'Name'), ('input', 'color', 'red', 'Color')))"
case:view-entry-empty	"('entry', ())"
case:view-detail-pairs	"('detail', (('field', 'name', 'Ada'), ('field', 'color', 'red')))"
case:view-detail-empty	"('detail', ())"
case:row-validate-alethic	"('CONS', 1, ('COND', ('COMP', 'eq', ('CONS', ('COMP', 2, 1), ('CONST', '#'))), ('CONST', ()), ('COMP', 'Color_vc', ('CONS', ('CONS', ('COMP', 2, 1))))), ('COMP', 'not', 'null', ('COND', ('COMP', 'eq', ('CONS', ('COMP', 2, 1), ('CONST', '#'))), ('CONST', ()), ('COMP', 'Color_vc', ('CONS', ('CONS', ('COMP', 2, 1)))))))"
case:row-validate-deontic	"('CONS', 1, ('COND', ('COMP', 'eq', ('CONS', ('COMP', 2, 1), ('CONST', '#'))), ('CONST', ()), ('COMP', 'Color_vc', ('CONS', ('CONS', ('COMP', 2, 1))))), ('CONST', 'F'))"
case:mirror-both-present	"(('a', 'Y'))"
case:instance-mirror	"(('p1', 'Person'), ('p2', 'Person'))"
case:instance-mirror-two-nouns	"(('p1', 'Person'), ('p2', 'Person'), ('c1', 'Company'), ('c2', 'Company'))"
case:instance-mirror-no-nouns	"()"
case:take	"('a', 'b')"
case:take-over	"('a', 'b')"
case:takerows	"(('a', 'b'), ('e', 'f'))"
case:pivot-rows	"(('a', 1, 'z'), ('c', 0, ()))"
case:pivot-row	"('a', 1, 'z', ())"
case:pivot-row-absent	"('c', 0, (), ())"
case:valpairs	"(('a', 'x'), ('c', 'y'), ('a', 'z'))"
case:playerpos	"(('F1', 1))"
case:atpos	"('b', 'e')"
case:atpos-zero	"()"
case:sortnames	"('apple', 'fig', 'pear')"
case:owntables	"('F2', 'F3')"
case:entitytables	"('Person', 'Car')"
case:entities	"('Person', 'Car')"
case:entities-short	"('Person')"
case:refmode-scheme-last	"'nr'"
case:refmode-mode-first	"'vin'"
case:refmode-default	"'id'"
case:keycol	"'person_name_nr'"
case:partition-compiled	"(('Person_places_Order', 'Person_places_Order'))"
case:subset-spec-violates	"(('c'))"
case:mandatory-facts-spec-violates	"(('c'))"
case:equality-side-spec-right-only	"(('c'))"
